rank,sample_id,eval_token_index,channel,tile_id,tile_offset,activation,quantized_activation,reconstruction_error,abs_reconstruction_error,nearest_centroid
561,89,8507,7,1,3,-0.21484375,1.5001842975616455,-1.7150280475616455,1.7150280475616455,47
562,69,6414,20,5,0,-1.671875,0.04043680056929588,-1.7123117446899414,1.7123117446899414,89
563,76,6903,59,14,3,-0.44921875,-2.1573808193206787,1.7081620693206787,1.7081620693206787,95
564,90,8510,17,4,1,0.10888671875,1.8137179613113403,-1.7048312425613403,1.7048312425613403,45
565,10,1013,20,5,0,-0.15234375,1.5519205331802368,-1.7042642831802368,1.7042642831802368,82
566,36,3341,20,5,0,-0.1494140625,1.5519205331802368,-1.7013345956802368,1.7013345956802368,82
567,19,1986,35,8,3,-0.0040283203125,-1.7035616636276245,1.6995333433151245,1.6995333433151245,78
568,47,4265,54,13,2,-1.3203125,0.3788747489452362,-1.6991872787475586,1.6991872787475586,121
569,24,2388,59,14,3,-0.4609375,-2.1573808193206787,1.6964433193206787,1.6964433193206787,95
570,81,7254,20,5,0,-0.142578125,1.5519205331802368,-1.6944986581802368,1.6944986581802368,82
571,29,2579,57,14,1,0.26953125,-1.4203373193740845,1.6898685693740845,1.6898685693740845,95
572,73,6642,20,5,0,-0.13671875,1.5519205331802368,-1.6886392831802368,1.6886392831802368,82
573,35,3286,19,4,3,0.55859375,2.2438507080078125,-1.6852569580078125,1.6852569580078125,124
574,79,7027,18,4,2,-1.375,0.30973848700523376,-1.6847385168075562,1.6847385168075562,124
575,49,4380,22,5,2,0.46484375,-1.219596266746521,1.684440016746521,1.684440016746521,82
576,62,6010,25,6,1,-2.015625,-0.33161064982414246,-1.6840143203735352,1.6840143203735352,101
577,67,6359,3,0,3,-0.375,1.3017035722732544,-1.6767035722732544,1.6767035722732544,86
578,13,1462,53,13,1,0.51171875,-1.1647276878356934,1.6764464378356934,1.6764464378356934,30
579,71,6605,23,5,3,1.28125,-0.3923456072807312,1.673595666885376,1.673595666885376,126
580,40,3767,33,8,1,1.265625,-0.4059147238731384,1.6715397834777832,1.6715397834777832,31
581,62,6010,59,14,3,-0.486328125,-2.1573808193206787,1.6710526943206787,1.6710526943206787,95
582,21,2048,19,4,3,0.57421875,2.2438507080078125,-1.6696319580078125,1.6696319580078125,124
583,22,2163,24,6,0,4.125,2.4571733474731445,1.6678266525268555,1.6678266525268555,101
584,46,4150,26,6,2,-0.1953125,1.4718811511993408,-1.6671936511993408,1.6671936511993408,101
585,61,5897,3,0,3,2.96875,1.3017035722732544,1.6670464277267456,1.6670464277267456,86
586,54,5259,3,0,3,-0.365234375,1.3017035722732544,-1.6669379472732544,1.6669379472732544,86
587,28,2550,1,0,1,-1.078125,0.5844319462776184,-1.6625568866729736,1.6625568866729736,86
588,42,3819,55,13,3,3.578125,1.9168561697006226,1.6612688302993774,1.6612688302993774,42
589,38,3689,3,0,3,-0.35546875,1.3017035722732544,-1.6571723222732544,1.6571723222732544,86
590,53,5186,117,29,1,-2.953125,-1.2970821857452393,-1.6560428142547607,1.6560428142547607,44
591,2,159,19,4,3,0.58984375,2.2438507080078125,-1.6540069580078125,1.6540069580078125,124
592,79,7027,23,5,3,3.9375,2.287625789642334,1.649874210357666,1.649874210357666,82
593,6,587,22,5,2,0.4296875,-1.219596266746521,1.649283766746521,1.649283766746521,82
594,12,1434,1,0,1,-1.0625,0.5844319462776184,-1.6469318866729736,1.6469318866729736,86
595,83,7599,19,4,3,0.59765625,2.2438507080078125,-1.6461944580078125,1.6461944580078125,124
596,81,7254,32,8,0,-0.310546875,-1.955368995666504,1.644822120666504,1.644822120666504,34
597,43,3841,52,13,0,0.099609375,-1.5451741218566895,1.6447834968566895,1.6447834968566895,30
598,86,8214,7,1,3,-0.14453125,1.5001842975616455,-1.6447155475616455,1.6447155475616455,47
599,27,2519,20,5,0,-0.0908203125,1.5519205331802368,-1.6427408456802368,1.6427408456802368,82
600,64,6113,47,11,3,0.50390625,-1.1335363388061523,1.6374425888061523,1.6374425888061523,37
601,4,267,16,4,0,0.291015625,1.92831552028656,-1.63729989528656,1.63729989528656,45
602,94,8889,24,6,0,4.09375,2.4571733474731445,1.6365766525268555,1.6365766525268555,101
603,99,9841,21,5,1,-0.404296875,1.2301476001739502,-1.6344444751739502,1.6344444751739502,126
604,46,4150,34,8,2,-0.546875,1.0790997743606567,-1.6259747743606567,1.6259747743606567,23
605,26,2516,27,6,3,0.049072265625,-1.570608377456665,1.619680643081665,1.619680643081665,105
606,49,4380,32,8,0,-0.173828125,1.4431437253952026,-1.6169718503952026,1.6169718503952026,31
607,75,6864,57,14,1,0.1962890625,-1.4203373193740845,1.6166263818740845,1.6166263818740845,95
608,39,3698,47,11,3,0.482421875,-1.1335363388061523,1.6159582138061523,1.6159582138061523,37
609,0,143,1,0,1,-1.03125,0.5844319462776184,-1.6156818866729736,1.6156818866729736,86
610,4,267,5,1,1,1.359375,-0.25627654790878296,1.6156516075134277,1.6156516075134277,24
611,98,9764,53,13,1,0.51953125,2.1334192752838135,-1.6138880252838135,1.6138880252838135,105
612,39,3698,20,5,0,-0.98046875,0.631747305393219,-1.6122159957885742,1.6122159957885742,126
613,16,1721,26,6,2,-0.138671875,1.4718811511993408,-1.6105530261993408,1.6105530261993408,101
614,12,1434,17,4,1,-1.015625,0.5928698778152466,-1.6084948778152466,1.6084948778152466,124
615,99,9841,18,4,2,-1.296875,0.30973848700523376,-1.6066135168075562,1.6066135168075562,124
616,18,1976,22,5,2,0.384765625,-1.219596266746521,1.604361891746521,1.604361891746521,82
617,4,267,66,16,2,-2.375,-0.772463858127594,-1.6025362014770508,1.6025362014770508,64
618,13,1462,22,5,2,-1.9375,-3.5396430492401123,1.6021430492401123,1.6021430492401123,58
619,39,3698,22,5,2,-2.453125,-0.8521214723587036,-1.6010035276412964,1.6010035276412964,126
620,52,5051,17,4,1,0.212890625,1.8137179613113403,-1.6008273363113403,1.6008273363113403,45
621,64,6113,3,0,3,-0.298828125,1.3017035722732544,-1.6005316972732544,1.6005316972732544,86
622,58,5453,59,14,3,0.0751953125,1.675608515739441,-1.600413203239441,1.600413203239441,113
623,55,5307,1,0,1,-1.015625,0.5844319462776184,-1.6000568866729736,1.6000568866729736,86
