tile_size_v,slice_start,slice_width,abs_corr_threshold,is_valid_even_tiling,num_tiles,mean_tile_internal_cooccurrence_count_share,weighted_tile_internal_cooccurrence_count_share,mean_tile_internal_cooccurrence_energy_share,weighted_tile_internal_cooccurrence_energy_share,mean_tile_internal_cooccurrence_count_share_percent,weighted_tile_internal_cooccurrence_count_share_percent,mean_tile_internal_cooccurrence_energy_share_percent,weighted_tile_internal_cooccurrence_energy_share_percent,mean_internal_cooccurrence_count,mean_cross_cooccurrence_count_touching_tile,mean_total_cooccurrence_count_touching_tile,total_internal_cooccurrence_count,total_cross_cooccurrence_count_touching_tiles,total_cooccurrence_count_touching_tiles,total_internal_cooccurrence_energy,total_cross_cooccurrence_energy_touching_tiles,total_cooccurrence_energy_touching_tiles
8,0,2048,0.0,True,256,0.0017127477367262051,0.0017127477367262051,0.00210491305063182,0.00300808751586498,0.1712747736726205,0.1712747736726205,0.21049130506318198,0.300808751586498,28.0,16320.0,16348.0,7168,4177920,4185088,10.588902969195946,3509.55567837989,3520.1445813490873
8,0,2048,0.01,True,256,0.0017384146967218553,0.0017421173636960805,0.0021051912232937136,0.00302417920059935,0.17384146967218553,0.17421173636960804,0.21051912232937137,0.302417920059935,19.890625,11397.609375,11417.5,5092,2917788,2922880,10.52132200323277,3468.545659592167,3479.0669815953997
8,0,2048,0.02,True,256,0.0017985332013360584,0.0018203572390367057,0.002111010596248208,0.0031296764436750946,0.17985332013360583,0.18203572390367057,0.21110105962482079,0.31296764436750946,13.17578125,7224.84375,7238.01953125,3373,1849560,1852933,10.128216800105479,3226.0583291203366,3236.1865459204428
8,0,2048,0.05,True,256,0.0017739108897621002,0.002290504386173337,0.001993635148091653,0.004484177494112237,0.17739108897621003,0.22905043861733368,0.1993635148091653,0.4484177494112237,2.82421875,1230.1875,1233.01171875,723,314928,315651,7.279780528382786,1616.1574134589646,1623.4371939873477
8,0,2048,0.1,True,256,0.0014637519814814088,0.0064269746646795824,0.001595297322833764,0.011747760871007032,0.14637519814814087,0.6426974664679582,0.15952973228337639,1.1747760871007031,0.5390625,83.3359375,83.875,138,21334,21472,4.654532334358657,391.5513817514347,396.2059140857934
16,0,2048,0.0,True,128,0.003677371904878648,0.003677371904878647,0.0045129594616410956,0.0060823470999033236,0.3677371904878648,0.3677371904878647,0.45129594616410956,0.6082347099903324,120.0,32512.0,32632.0,15360,4161536,4176896,21.3453169422745,3488.0428504337333,3509.388167376008
16,0,2048,0.01,True,128,0.003726804392786538,0.003734214945841371,0.0045140654665723175,0.006112351899366102,0.3726804392786538,0.3734214945841371,0.45140654665723173,0.6112351899366102,85.1015625,22704.578125,22789.6796875,10893,2906186,2917079,21.200009775489043,3447.1882840476546,3468.388293823143
16,0,2048,0.02,True,128,0.003852719256144521,0.0039002884655945018,0.004529126005682879,0.006311767163182197,0.3852719256144521,0.3900288465594502,0.4529126005682879,0.6311767163182197,56.34375,14389.703125,14446.046875,7212,1841882,1849094,20.361466087646903,3205.5918305452537,3225.953296632901
16,0,2048,0.05,True,128,0.003995494851331547,0.005073432938238817,0.004431124283423551,0.00891141609810441,0.39954948513315475,0.5073432938238817,0.4431124283423551,0.891141609810441,12.4765625,2446.71875,2459.1953125,1597,313180,314777,14.403640662877123,1601.9096931899762,1616.313333852853
16,0,2048,0.1,True,128,0.003539043767567432,0.013792456370801277,0.0037788767702478547,0.022061501546881853,0.3539043767567432,1.3792456370801276,0.3778876770247855,2.2061501546881854,2.296875,164.234375,166.53125,294,21022,21316,8.652691981252831,383.5550624576463,392.20775443889914
